id_producto;id_estado;id_tipo_producto;nom_producto;desc_producto;nom_marca;nom_talla;costo_prom;cantidad
411;1;3;DISTINTIVO BRIG.MAYOR T/PARADA;DISTINTIVO BRIG.MAYOR T/PARADA;Sin Marca;Sin Talla;4495;7
412;1;0;ESPEJO SEÑALES CON FUNDA;;Sin Marca;Sin Talla;8391;62
415;1;3;GUANTES DE CUERO;;Sin Marca;Sin Talla;9768;16
418;1;0;PORTA LAPIZ DE VINILICO;;Sin Marca;Sin Talla;689;2
424;1;3;PARCHES OLIMPICOS;;Sin Marca;Sin Talla;1008;168
425;1;3;BOTON DORADO 23 MM P/LARGA;;WATERBURY;Sin Talla;952;90
427;1;4;QUEPIS IM.;;Sin Marca;Sin Talla;5634;149
428;1;3;CUBRECAMA CHENILLE;;Sin Marca;Sin Talla;18339;2
429;1;3;CUBRE COLCHON;;Sin Marca;Sin Talla;11444;2
431;1;3;PALAS FLEXIBLES 3 AÑO;;Sin Marca;Sin Talla;2261;8
436;1;0;PALAS RIGIDAS BRIGADIER;;Sin Marca;Sin Talla;6324;80
438;1;3;PIOCHA INFANTERIA DE MARINA;;Sin Marca;Sin Talla;3327;14
439;1;0;CORBATA NEGRA RAZO;;Sin Marca;Sin Talla;3039;184
440;1;7;CAMISETA LANILLA M/C;CAMISETA LANILLA MANGA CORTA;CARTERS;Sin Talla;3060;96
441;1;3;BILLETERA CUERO, LOGO E.N.;;ESCUELA NAVAL;Sin Talla;6657;2
457;1;0;PALAS RIGIDA E.N.;;Sin Marca;Sin Talla;5431;49
458;1;0;AUTOADHESIVO LOGO E.N.;;Sin Marca;Sin Talla;246;1185
461;1;6;PASTA DENTAL;PASTA DENTAL;Sin Marca;Sin Talla;1348;9
464;1;0;SACAPUNTA METALICO;;Sin Marca;Sin Talla;216;4
465;1;3;ESCOBILLA DE ZAPATO C/BETUNERA;;Sin Marca;Sin Talla;1656;4
466;1;0;PEGAMENTO STIC-FIX EN BARRA;;Sin Marca;Sin Talla;462;16
468;1;0;DISKETTE  3.5  A.D.;;Sin Marca;Sin Talla;144;50
473;1;0;PALAS RIGIDA BRIGADIER MAYOR;;Sin Marca;Sin Talla;7422;17
478;1;0;ESCUADRA STAEDTLER 45;;Sin Marca;Sin Talla;937;5
481;1;0;PALAS FLEXIBLE 2 AÑO;;Sin Marca;Sin Talla;2261;10
493;1;0;CAMISA BLANCA PECHERA;;Sin Marca;Sin Talla;6885;150
494;1;3;BOTON NEGRO PARA GORRA;BOTON NEGRO PARA GORRA;ARMADA C. AB.;Sin Talla;1057;257
496;1;7;PANTALON DEPORTIVO;PANTALON DEPORTIVO;CARTERS;Sin Talla;6152;31
499;1;7;CALCETAS BLANCA CORTA DEPORT.;;Sin Marca;Sin Talla;1578;122
500;1;3;DESODORANTE CORPORAL, SP;;Sin Marca;Sin Talla;1214;9
503;1;7;CINTURON NEGRO;CINTURON NEGRO;Sin Marca;Sin Talla;2366;76
504;1;3;PITO DE MANIOBRA;;Sin Marca;Sin Talla;4407;23
514;1;3;FRAZADA;;PLAZA Y MEDIA;Sin Talla;8912;6
515;1;3;PORTA TIN GIRATORIO;;Sin Marca;Sin Talla;1056;115
517;1;3;LIGAS PARA BOTA;;Sin Marca;Sin Talla;1188;56
522;1;0;MINA FINA 0.7;;Sin Marca;Sin Talla;386;4
532;1;7;PIJAMA BLANCO;;ESNAVAL;Sin Talla;8638;36
533;1;0;WOLLY POLLY;;Sin Marca;Sin Talla;34837;9
535;1;0;CUADERNO UNIVERSITARIO DE MATE;;Sin Marca;Sin Talla;556;160
536;1;6;ESPUMA DE AFEITAR;ESPUMA DE AFEITAR;Sin Marca;Sin Talla;4033;11
543;1;7;CAMISA SMOKING PLIZADA;CAMISA SMOKING PLIZADA;ARAUCO;Sin Talla;16677;19
544;1;7;PALAS FLEXIBLE E.N.;PALAS FLEXIBLE E.N.;ESNAVAL;Sin Talla;5450;3
545;1;7;IMPERMEABLE NAVAL;;Sin Marca;Sin Talla;46599;11
546;1;0;COLLERA DE PUÑO;;Sin Marca;Sin Talla;5504;52
555;1;0;PORTA GORRA HOMBRE;;Sin Marca;Sin Talla;6278;15
557;1;7;CALCETIN DE INVIERNO;;Sin Marca;Sin Talla;1993;1232
562;1;0;LIMPIA METAL, BRASSO;;Sin Marca;Sin Talla;3499;10
564;1;6;TOALLA BLANCA CHICA;;Sin Marca;Sin Talla;4349;116
568;1;3;DISTINTIVO BRIG.T/PARADA;DISTINTIVO BRIG.T/PARADA;Sin Marca;Sin Talla;4379;51
569;1;6;ESCOBILLA DE UÑA;;Sin Marca;Sin Talla;544;40
571;1;3;CORTAUÑA;CORTAUÑA;TRECK;Sin Talla;1005;5
575;1;7;SLIP BLANCO;;Sin Marca;Sin Talla;1858;462
576;1;0;LAPIZ DE PASTA AZUL;;Sin Marca;Sin Talla;102;15
581;1;0;MINAS 0.5 REPUESTO;;Sin Marca;Sin Talla;523;18
582;1;0;TIRANTE PARA PANTALON;;Sin Marca;Sin Talla;3689;11
585;1;3;DISTINTIVO BRIG.T/SERVICIO;DISTINTIVO BRIG.T/SERVICIO;Sin Marca;Sin Talla;4257;55
586;1;0;PAÑO AMARILLO DE LIMPIEZA;;Sin Marca;Sin Talla;793;13
588;1;0;BLOCK DE CERTAMEN;;Sin Marca;Sin Talla;1658;46
594;1;0;FUNDA DE ALMOHADA;;Sin Marca;Sin Talla;940;1
596;1;0;BOTON DORADO 13 MM;;OFICIAL;Sin Talla;755;13
597;1;6;FIJADOR CABELLO MUJER;GEL PARA CABELLO MUJER;Sin Marca;Sin Talla;3245;2
599;1;0;PALAS FLEXIBLES 1 AÑO;;Sin Marca;Sin Talla;2641;71
604;1;6;SHAMPOO MUJER;SHAMPOO MUJER;Sin Marca;Sin Talla;1345;13
605;1;3;MALLA P/CABELLO;;Sin Marca;Sin Talla;877;17
606;1;6;TOALLAS HIGENICAS;TOALLAS HIGENICAS;Sin Marca;Sin Talla;1084;9
611;1;7;TRAJE DE BAÑO MUJER;TRAJE DE BAÑO MUJER ;Sin Marca;DAMA S;12629;10
612;1;5;PANTINAS DE BAÑO;PANTINAS DE BAÑO;SPEEDO;Sin Talla;3200;5
614;1;3;PORTATRAJE NEGRO SIPPER;PORTATRAJE NEGRO SIPPER;SAXOLINE;Sin Talla;21599;31
616;1;7;CORBATIN PARA HOMBRE;;Sin Marca;Sin Talla;1918;44
620;1;7;CAPOTE NAVAL;;Sin Marca;Sin Talla;80920;1
625;1;3;ESCUDO GORRA FEMENINA;;Sin Marca;Sin Talla;6258;41
626;1;3;ESPEJO PARA CARTERA;ESPEJO PARA CARTERA;OFICIAL;Sin Talla;1350;3
630;1;7;TALONERA DE GEL;;Sin Marca;Sin Talla;4073;1
633;1;3;GALON HILO DE ORO 6,5 MM;;Sin Marca;Sin Talla;2501;30
635;1;3;PIOCHAS NEGRAS;;Sin Marca;Sin Talla;7021;5
639;1;0;GALON HILO DE ORO CP-6118;;Sin Marca;Sin Talla;6347;5
644;1;7;AMBO COMBATE MUJER;AMBO COMBATE MUJER;Sin Marca;36;33287;5
651;1;7;AMBO COMBATE HOMBRE;AMBO COMBATE HOMBRE;ESCUELA NAVAL;50;34328;14
652;1;7;AMBO COMBATE HOMBRE;AMBO COMBATE HOMBRE;Sin Marca;52;34328;16
660;1;7;BUZO DEPORTIVO GRIS;;Sin Marca;L;18618;15
662;1;7;BOTIN CON TACO;;Sin Marca;34;44813;4
712;1;7;AMBO SARGA FINA HOMBRE;AMBO SARGA FINA HOMBRE;Sin Marca;52L;74703;2
780;1;7;CALZONCILLO LARGO;CALZONCILLO LARGO;Sin Marca;M;6467;41
789;1;7;CAMISA PECHERA HOMBRE;;Sin Marca;43;10528;6
811;1;7;BEATLE;;Sin Marca;L;5233;22
826;1;7;CAMISA DAMA M/C;CAMISA DAMA M/C;BENSONS;34;9533;3
831;1;7;CAMISA DAMA M/C;CAMISA DAMA M/C;BENSONS;41;9533;31
842;1;7;CHAPA DE PARADA CON ANCLAS;;Sin Marca;Sin Talla;3332;1
845;1;3;CINTILLO NEGRO PARA GORRA;;Sin Marca;Sin Talla;1940;265
867;1;7;CAMISA PUÑO DOBLE HOMBRE;CAMISAS BENSONS;BENSONS;Sin Talla;11054;47
869;1;7;CAMISA PUÑO SIMPLE MUJER;CAMISA BENSONS;BENSONS;Sin Talla;10522;32
870;1;7;CAMISA MANGA CORTA HOMBRE;CAMISA BENSONS;BENSONS;Sin Talla;9764;13
871;1;7;CAMISA DAMA M/C;CAMISA BENSONS;BENSONS;Sin Talla;9533;45
872;1;7;CAMISA DOBLE PUÑO HOMBRE;CAMISA BENSONS;BENSONS;Sin Talla;11504;14
875;1;7;CAMISA PECHERA HOMBRE;CAMISAS BENSONS;ARAUCO;Sin Talla;10528;143
876;1;7;CUELLOS CAMISA PECHERA;CUELLOS BENSONS;BENSONS;Sin Talla;2532;334
879;1;5;BOTIN PLANTA DE SUELA;BOTIN PLANTA DE SUELA;GUANTE;43;45949;43
883;1;7;CUELLOS CAMISA PECHERA;CUELLOS PARA CAMISA PRISMA;Sin Marca;Sin Talla;2532;149
886;1;7;AMBO COMBATE MUJER;AMBO COMBATE MUJER ;Sin Marca;40;33287;3
888;1;7;AMBO COMBATE MUJER;AMBO COMBATE MUJER ;Sin Marca;48;33287;2
902;1;7;PANTALON DESFILE MUJER;PANTALON DESFILE MUJER ;Sin Marca;48;22091;3
919;1;5;BOTA DE MARCHA;BOTA DE MARCHA;ARMADA C. AB.;48;40076;6
939;1;5;ZAPATILLA CON CLAVO;ZAPATILLA CON CLAVO;JOMA;35;38199;2
981;1;3;FAJA PARA GALA;FAJA PARA GALA;Sin Marca;Sin Talla;9818;7
982;1;0;BASE MAQUILLAJE;BASE MAQUILLAJE;Sin Marca;Sin Talla;4990;2
990;1;7;BUZO DEPORTIVO E.N.;BUZO DEPORTIVO E.N.;Sin Marca;Sin Talla;39573;3
1041;1;7;TRAJE DE BAÑO SPEEDO;TRAJE DE BAÑO SPEEDO;SPEEDO;Sin Talla;13000;1
1110;1;7;BOTON DORADO 13 MM;EQUIPO INICIAL 2012;WATERBURY;Sin Talla;755;115
1111;1;7;BOTON DORADO 16 MM;EQUIPO INICIAL 2012;WATERBURY;Sin Talla;900;299
1112;1;7;BOTON DORADO 23 MM P/CORTA;EQUIPO INICIAL 2012;WATERBURY;Sin Talla;941;43
1133;1;7;CAPOTE NAVAL MUJER;EQUIPO INICIAL 2012;Sin Marca;Sin Talla;74734;2
1162;1;6;ESCOBILLA DE ROPA EQ. INICIAL 2012;EQUIPO INICIAL 2012;Sin Marca;Sin Talla;1500;18
1191;1;6;JABON ASEO;JABON ASEO ;Sin Marca;Sin Talla;212;97
1247;1;7;POLERON NAVEGACION;EQUIPO INICIAL 2012;Sin Marca;Sin Talla;16537;1
1257;1;11;REGLA 30 CM;EQUIPO INICIAL 2012;Sin Marca;Sin Talla;88;42
1294;1;7;CHAQUETILLA SARGA FINA 14-A HO;CHAQUETILLA SARGA FINA 14-A HOMBRE;BENSONS;48R;31839;35
1315;1;7;CHAQUETILLA SARGA FINA 14-A MU;CHAQUETILLA 14 A MUJER;BENSONS;38L;33665;1
1478;1;5;BOTIN DE MUJER;BOTIN DE MUJER;GUANTE;36;44728;7
1479;1;5;BOTIN DE MUJER;BOTIN DE MUJER;GUANTE;37;44728;12
1480;1;5;BOTIN CON TACO;BOTIN DE MUJER;GUANTE;38;44813;13
1481;1;5;BOTIN DE MUJER;BOTIN DE MUJER;GUANTE;39;44728;3
1482;1;5;BOTIN DE MUJER;BOTIN DE MUJER;GUANTE;41;44728;2
1541;1;3;PALAS FLEXIBLES EQUIPO INICIAL 2012;PALAS FLEXIBLES EQUIPO INICIAL 2012;Sin Marca;Sin Talla;2641;3
1600;1;7;CAMISETA ANCLAS CRUZADAS;CAMISETA ANCLAS;Sin Marca;Sin Talla;5251;69
1614;1;3;FUNDA DE GORRA;FUNDA GORRA;ARMADA C. AB.;Sin Talla;5721;24
1620;1;0;CINTURON VERDE;CINTURON VERDE;Sin Marca;Sin Talla;2021;8
1621;1;0;FUNDA DE CUERO PARA ESPADAS;FUNDA DE CUERO PARA ESPADAS;Sin Marca;Sin Talla;15360;1
1627;1;3;INSIGNIA SOLAPA MUJER;INSIGNIA SOLAPA FEMENINO;ARMADA C. AB.;Sin Talla;9317;2
1634;1;7;AMBO SARGA FINA MUJER;AMBO SARGA FINA MUJER;BENSONS;44C;67034;1
1655;1;7;CAMISA PUÑO DOBLE HOMBRE;CAMISA PUÑO DOBLE HOMBRE;BENSONS;35;11054;12
1658;1;7;CAMISA PUÑO DOBLE HOMBRE;CAMISA PUÑO DOBLE HOMBRE;BENSONS;38;11054;20
1659;1;7;CAMISA PUÑO DOBLE HOMBRE;CAMISA PUÑO DOBLE HOMBRE;BENSONS;39;11054;39
1671;1;13;MASCARA DE PESTAÑA;MASCARA DE PESTAÑA;Sin Marca;Sin Talla;3390;3
1672;1;13;LABIAL DE MUJER;LABIAL DE MUJER;Sin Marca;Sin Talla;1790;3
1673;1;9;ESTUCHE PARA LAPICES;ESTUCHE PARA LAPICES;Sin Marca;Sin Talla;3577;16
1675;1;11;CUADERNO CALIGRAFIA;CUADERNO CALIGRAFIA;Sin Marca;Sin Talla;853;120
1676;1;6;ENJUAGUE BUCAL;ENJUAGUE BUCAL;Sin Marca;Sin Talla;845;3
1677;1;7;BOXER HOMBRE;BOXER;CARTERS;M;3090;24
1681;1;7;PIJAMA FRANELA MUJER;PIJAMA FRANELA MUJER;CARTERS;XS;15352;1
1684;1;7;CAMISA PUÑO SIMPLE MUJER;CAMISA PUÑO SIMPLE MUJER;BENSONS;38;10522;14
1712;1;8;"MANUAL PARA CADETES ""ORIENTACION PROFESIONAL""";"MANUAL PARA CADETES ""ORIENTACION PROFESIONAL""";Sin Marca;Sin Talla;18294;124
1713;1;8;CARTILLA NAUTICA;CARTILLA NAUTICA;IMPRENTA;Sin Talla;12600;85
1721;1;8;LIBRO INGLES BESCO REFILL BE 4;LIBRO INGLES BESCO REFILL BE 4;Sin Marca;Sin Talla;40000;28
1722;1;4;FUNDA DE GORRA;FUNDA DE GORRA  ;Sin Marca;M;5721;67
1727;1;7;FUNDA GORRA FEMENINA N° 20 1/2;FUNDA GORRA FEMENINA N° 20 1/2;Sin Marca;Sin Talla;13135;15
1728;1;7;FUNDA GORRA FEMENINA N° 21;FUNDA GORRA FEMENINA N° 21;Sin Marca;Sin Talla;13135;20
1729;1;7;FUNDA GORRA FEMENINA N° 21 1/2;FUNDA GORRA FEMENINA N° 21 1/2;Sin Marca;Sin Talla;13153;18
1730;1;7;FUNDA GORRA FEMENINA N° 20;FUNDA GORRA FEMENINA N° 20;Sin Marca;Sin Talla;12852;6
1731;1;7;GORRA FEMENINA N° 22  1/2;GORRA FEMENINA N° 22  1/2;Sin Marca;Sin Talla;59168;1
1737;1;7;CAMISA DOBLE PUÑO HOMBRE;CAMISA DOBLE PUÑO HOMBRE;Sin Marca;42L;11504;39
1740;1;7;GALON HILO DE HORO 16MM.;GALON HILO DE HORO 16MM.;Sin Marca;Sin Talla;4024;26
1746;1;7;CINTURON BLANCO;CINTURON BLANCO;Sin Marca;Sin Talla;2134;4
1753;1;3;CARTERA SMOKING FMENINA;CARTERA SMOKING FMENINA;Sin Marca;Sin Talla;49058;2
1754;1;7;SOLAPIN GAMAS;SOLAPIN GAMAS;Sin Marca;Sin Talla;11900;32
1756;1;7;INSIGNIA BORDADA ESCUDO E.N.;INSIGNIA BORDADA ESCUDO E.N.;Sin Marca;Sin Talla;1500;1
1757;1;0;BANDERIN CHICO ESNAVAL;BANDERIN CHICO ESNAVAL;Sin Marca;Sin Talla;500;9
1758;1;0;ESMALTE DE UÑAS;ESMALTE DE UÑAS;Sin Marca;Sin Talla;2000;10
1759;1;0;ESPEJO PARA CARTERA CON FUNDA;ESPEJO PARA CARTERA CON FUNDA;Sin Marca;Sin Talla;2000;11
1761;1;7;WOLLY POLLY IM;WOLLY POLLY IM;Sin Marca;Sin Talla;9341;22
1762;1;7;TENIDAS DE COMBATE IM;TENIDAS DE COMBATE IM;Sin Marca;Sin Talla;49139;15
1764;1;7;CREMA LABIAL;CREMA LABIAL;Sin Marca;Sin Talla;1726;6
1767;1;7;TRAJE DE BAÑO FEMENINO CARTERS;TRAJE DE BAÑO FEMENINO CARTERS;Sin Marca;Sin Talla;8731;7
1768;1;0;PALA FLEXIBLE CAPITAN DE FRAGATA;PALA FLEXIBLE CAPITAN DE FRAGATA;Sin Marca;Sin Talla;5273;1
